代碼,股利發放年度,股利合計
1305,2009,0.0
1305,2008,0.0
1305,2007,0.0
1305,2006,0.0
1305,2005,0.0
1305,2004,0.0
1305,2003,0.0
1305,2002,0.0
1305,2001,0.0
1305,2000,0.0
1305,1999,0.0
1305,1998,0.0
1305,1997,1.0
1305,1996,0.45
1305,1995,0.8
1305,1994,0.5
1305,1993,0.9
1305,1992,1.15
1305,1991,1.5
1305,1990,1.25
1305,1989,2.5
1305,1988,2.5
1305,1987,3.0
1305,1986,2.1
1305,1985,2.0
1305,1984,1.2
1305,1983,0.2
1305,1981,0.82
1305,1980,1.3
1305,1979,1.7
1305,1978,1.5
1307,2022,0.5
1307,2021,0.5
1307,2020,0.8
1307,2019,0.5
1307,2018,1.7
1307,2017,2.2
1307,2016,2.0
1307,2015,1.9
1307,2014,1.7
1307,2013,1.7
1307,2012,1.5
1307,2011,2.2
1307,2010,2.0
1307,2009,1.6
1307,2008,1.5
1307,2007,1.5
1307,2006,1.0
1307,2005,0.7
1307,2004,1.0
1307,2003,1.0
1307,2002,0.4
1307,2001,0.4
1307,2000,0.4
1307,1999,0.0
1307,1998,1.0
1307,1997,0.0
1307,1996,0.0
1307,1995,1.0
1307,1994,1.3
1307,1993,1.2
1307,1992,1.2
1307,1991,1.0
1307,1990,1.0
1307,1989,1.2
1307,1988,2.0
1307,1987,2.8
1307,1986,2.4
1307,1985,1.0
1307,1984,7.0
1308,2022,3.0
1308,2021,1.4
1308,2020,1.1
1308,2019,0.3
1308,2018,0.9
1308,2017,0.9
1308,2016,0.8
1308,2015,0.8
1308,2014,1.0
1308,2013,1.0
1308,2012,3.0
1308,2011,4.0
1308,2010,2.6
1308,2009,1.0
1308,2008,2.0
1308,2007,1.0
1308,2006,0.8
1308,2005,1.2
1308,2004,1.0
1308,2003,0.8
1308,2002,0.0
1308,2001,0.5
1308,2000,1.3
1308,1999,2.0
1308,1998,2.5
1308,1997,5.0
1308,1996,2.5
1308,1995,2.2
