代碼,商品,新聞內容,日期
9906,欣巴巴,欣巴巴:公告欣巴巴事業股份有限公司發行國內第一次有擔保轉換公司債相關事宜,2023-06-01
6438,迅得,迅得5月營收5.12億元年增10.47% 1—5月達26.54億元,2023-06-01
9933,中鼎,中鼎:中鼎工程股份有限公司（公司代號：9933） 員工認股權憑證於 112 年第 1 季行使所發行之普通股股票已上市股數。,2023-06-01
1609,大亞,大亞:公告大亞電線電纜股份有限公司國內第四次無擔保轉換公司債(簡稱：大亞四，代碼：16094)換發之普通股股票開始上市櫃買賣日期。,2023-06-01
3149,正達,正達:公告本公司民國112年第2季因員工認股權憑證執行而新增發行之股數,2023-06-01
8926,台汽電,台汽電:代重要子公司星能(股)公司公告董事會決議除息基準日,2023-06-01
2402,毅嘉,毅嘉5月營收7.03億元年增24.54% 1—5月達33.01億元,2023-06-01
5608,四維航,四維航:公告本公司發行國內第六次有擔保轉換公司債,2023-06-01
1440,南紡,南紡:公告本公司112年分派現金股利有關事項,2023-06-01
2867,三商壽,三商壽:本公司辦理反向一倍證券投資信託基金投資相關作業，經主管機關金管會以違反保險法相關規定處分，裁罰新臺幣480萬元。,2023-06-01
4906,正文,正文:更正代子公司安博電子科技(常熟)有限公司處分資產(估價資料),2023-06-01
2402,毅嘉,毅嘉:公告本公司自行結算112年05月合併營收約新台幣7.03億元。,2023-06-01
1788,杏昌,杏昌:公告本公司更正自103年第4季至111年第3季，各季度合併財務報告暨個體財務報告,2023-06-01
1799,易威,"易威:代美國子公司Tulex Pharmaceuticals公告,TLX-030抗發炎藥物接獲美國FDA通知領取藥證",2023-06-01
1435,中福,中福:公告本公司112年股東常會通過解除新任獨立董事競業限制案,2023-06-01
1435,中福,中福:公告本公司新任審計委員會委員,2023-06-01
1435,中福,中福:公告本公司112年股東常會補選獨立董事一席,2023-06-01
1435,中福,中福:公告本公司112年股東常會重要決議事項,2023-06-01
2603,長榮,長榮:公告本公司國內第四次無擔保轉換公司債轉換價格調整,2023-06-01
1218,泰山,泰山:公告召集權人龍邦國際興業股份股份有公司等共計7人依公司法第173條之1規定召開本公司112年第二次股東臨時會決議解除新任董事(含獨立董事)及其代表人競業行為限制案,2023-06-01
2424,隴華,隴華:代子公司優視訊股份有限公司公告董事會決議辦理現金增資發行新股,2023-06-01
